epoch,categorical_crossentropy,loss,mae,val_categorical_crossentropy,val_loss,val_mae
0,3.2266457080841064,2.4925718307495117,0.11077944934368134,3.0419423580169678,2.340820074081421,0.11040303856134415
1,3.094985008239746,2.367950677871704,0.10980969667434692,2.9431402683258057,2.245483875274658,0.10924766957759857
2,2.9629952907562256,2.2679240703582764,0.10858950018882751,2.861423969268799,2.1647303104400635,0.1080770194530487
3,2.882351875305176,2.1754958629608154,0.10763194411993027,2.792736291885376,2.0969457626342773,0.1070450097322464
4,2.809628486633301,2.1107020378112793,0.10661860555410385,2.7176613807678223,2.0332834720611572,0.10594780743122101
5,2.7150304317474365,2.0360939502716064,0.1054336279630661,2.6716294288635254,1.9747838973999023,0.10495831817388535
6,2.638972759246826,1.9737064838409424,0.10398099571466446,2.618405818939209,1.933980107307434,0.103723905980587
7,2.559032917022705,1.9154677391052246,0.10244570672512054,2.4991958141326904,1.8511089086532593,0.10169372707605362
8,2.4965438842773438,1.8553401231765747,0.10091165453195572,2.4654343128204346,1.8230787515640259,0.10087355226278305
9,2.4220259189605713,1.8046252727508545,0.09941741079092026,2.3949737548828125,1.7757235765457153,0.09941692650318146
10,2.3717267513275146,1.7610440254211426,0.09809191524982452,2.2470381259918213,1.6870297193527222,0.09704162180423737
11,2.291632652282715,1.7221016883850098,0.09655281156301498,2.2361133098602295,1.6656612157821655,0.096128910779953
12,2.220155715942383,1.676308512687683,0.0950189009308815,2.1260857582092285,1.6123032569885254,0.09416423738002777
13,2.171762704849243,1.6590988636016846,0.09393243491649628,2.1157889366149902,1.595750093460083,0.09318849444389343
14,2.1173558235168457,1.6038336753845215,0.09233070909976959,2.046811819076538,1.5627638101577759,0.09117832034826279
15,2.0544373989105225,1.5721116065979004,0.09083402156829834,2.002000331878662,1.53568696975708,0.08989468216896057
16,2.0356247425079346,1.5651028156280518,0.08984524011611938,1.9628103971481323,1.5041896104812622,0.08857324719429016
17,1.9873056411743164,1.5291348695755005,0.08815307915210724,1.9387632608413696,1.4999425411224365,0.08730955421924591
