epoch,categorical_crossentropy,loss,mae,val_categorical_crossentropy,val_loss,val_mae
0,3.472630262374878,3.472630262374878,0.11158130317926407,3.3091447353363037,3.3091447353363037,0.11125034093856812
1,3.4539029598236084,3.4539029598236084,0.11139999330043793,3.3504652976989746,3.3504652976989746,0.1112833321094513
2,3.4135186672210693,3.4135186672210693,0.11123459786176682,3.3301777839660645,3.3301777839660645,0.11121255159378052
3,3.392457962036133,3.392457962036133,0.11122630536556244,3.303201913833618,3.303201913833618,0.11111704260110855
4,3.364483594894409,3.364483594894409,0.11109378933906555,3.281310796737671,3.281310796737671,0.11103842407464981
5,3.352015495300293,3.352015495300293,0.11102649569511414,3.254664659500122,3.254664659500122,0.11093190312385559
6,3.3390238285064697,3.3390238285064697,0.11102613061666489,3.2378108501434326,3.2378108501434326,0.11087919771671295
7,3.3212690353393555,3.3212690353393555,0.11097851395606995,3.2145347595214844,3.2145347595214844,0.1107901856303215
8,3.2855002880096436,3.2855002880096436,0.11078815162181854,3.195943832397461,3.195943832397461,0.11072617024183273
9,3.275261402130127,3.275261402130127,0.11062806844711304,3.1767332553863525,3.1767332553863525,0.11065071076154709
10,3.2507500648498535,3.2507500648498535,0.11065628379583359,3.1588516235351562,3.1588516235351562,0.11055968701839447
11,3.2485344409942627,3.2485344409942627,0.11060834676027298,3.1430230140686035,3.1430230140686035,0.11049871891736984
12,3.2362611293792725,3.2362611293792725,0.11053876578807831,3.1269776821136475,3.1269776821136475,0.11044742166996002
13,3.2134933471679688,3.2134933471679688,0.11043079197406769,3.106003522872925,3.106003522872925,0.11031533777713776
14,3.210353374481201,3.210353374481201,0.11046186089515686,3.0925374031066895,3.0925374031066895,0.11024084687232971
15,3.1873624324798584,3.1873624324798584,0.11026613414287567,3.0798258781433105,3.0798258781433105,0.11018297076225281
16,3.176576852798462,3.176576852798462,0.11029233783483505,3.066230535507202,3.066230535507202,0.1101132482290268
17,3.1593775749206543,3.1593775749206543,0.11012110859155655,3.052241802215576,3.052241802215576,0.11003375798463821
18,3.156313419342041,3.156313419342041,0.11016258597373962,3.040456533432007,3.040456533432007,0.10995195060968399
