epoch,categorical_crossentropy,loss,val_categorical_crossentropy,val_loss
0,3.252917766571045,3.252917766571045,2.5424137115478516,2.5424137115478516
1,2.8730480670928955,2.8730480670928955,2.3139936923980713,2.3139936923980713
2,2.6028733253479004,2.6028733253479004,2.068403482437134,2.068403482437134
3,2.438150405883789,2.438150405883789,1.9193328619003296,1.9193328619003296
4,2.3031857013702393,2.3031857013702393,1.8082746267318726,1.8082746267318726
5,2.2325918674468994,2.2325918674468994,1.739389419555664,1.739389419555664
6,2.1373343467712402,2.1373343467712402,1.6929206848144531,1.6929206848144531
7,2.082676410675049,2.082676410675049,1.6585725545883179,1.6585725545883179
8,2.0349366664886475,2.0349366664886475,1.622994303703308,1.622994303703308
9,1.9834468364715576,1.9834468364715576,1.6137573719024658,1.6137573719024658
10,1.9570252895355225,1.9570252895355225,1.5793460607528687,1.5793460607528687
11,1.9204455614089966,1.9204455614089966,1.5530387163162231,1.5530387163162231
12,1.8844401836395264,1.8844401836395264,1.5481433868408203,1.5481433868408203
13,1.8448070287704468,1.8448070287704468,1.5466049909591675,1.5466049909591675
14,1.821395993232727,1.821395993232727,1.5327588319778442,1.5327588319778442
15,1.8029046058654785,1.8029046058654785,1.515589714050293,1.515589714050293
16,1.7740732431411743,1.7740732431411743,1.5129121541976929,1.5129121541976929
17,1.740462303161621,1.740462303161621,1.4944093227386475,1.4944093227386475
18,1.7120699882507324,1.7120699882507324,1.4791865348815918,1.4791865348815918
19,1.705072045326233,1.705072045326233,1.4761217832565308,1.4761217832565308
20,1.683013677597046,1.683013677597046,1.4569646120071411,1.4569646120071411
21,1.658754587173462,1.658754587173462,1.445940613746643,1.445940613746643
22,1.6512718200683594,1.6512718200683594,1.4436085224151611,1.4436085224151611
23,1.6306933164596558,1.6306933164596558,1.4382346868515015,1.4382346868515015
24,1.6069729328155518,1.6069729328155518,1.441585898399353,1.441585898399353
25,1.6055378913879395,1.6055378913879395,1.424916386604309,1.424916386604309
26,1.577510952949524,1.577510952949524,1.41105055809021,1.41105055809021
27,1.5757465362548828,1.5757465362548828,1.3996295928955078,1.3996295928955078
28,1.5451668500900269,1.5451668500900269,1.3844718933105469,1.3844718933105469
29,1.5400446653366089,1.5400446653366089,1.386592984199524,1.386592984199524
30,1.517723560333252,1.517723560333252,1.3637953996658325,1.3637953996658325
31,1.5122624635696411,1.5122624635696411,1.3669570684432983,1.3669570684432983
32,1.5012582540512085,1.5012582540512085,1.3623707294464111,1.3623707294464111
33,1.4907267093658447,1.4907267093658447,1.3562591075897217,1.3562591075897217
34,1.465820550918579,1.465820550918579,1.3458664417266846,1.3458664417266846
35,1.4600173234939575,1.4600173234939575,1.3423343896865845,1.3423343896865845
36,1.4614238739013672,1.4614238739013672,1.3313167095184326,1.3313167095184326
37,1.4382822513580322,1.4382822513580322,1.3220003843307495,1.3220003843307495
38,1.435109257698059,1.435109257698059,1.3202167749404907,1.3202167749404907
39,1.42323899269104,1.42323899269104,1.3108869791030884,1.3108869791030884
40,1.405148983001709,1.405148983001709,1.3097337484359741,1.3097337484359741
41,1.404151439666748,1.404151439666748,1.2941854000091553,1.2941854000091553
42,1.382552146911621,1.382552146911621,1.3071519136428833,1.3071519136428833
43,1.3839921951293945,1.3839921951293945,1.288405179977417,1.288405179977417
44,1.3745744228363037,1.3745744228363037,1.275376796722412,1.275376796722412
45,1.361595869064331,1.361595869064331,1.2612205743789673,1.2612205743789673
46,1.3412160873413086,1.3412160873413086,1.2753427028656006,1.2753427028656006
47,1.3542612791061401,1.3542612791061401,1.268936038017273,1.268936038017273
48,1.3329321146011353,1.3329321146011353,1.2681232690811157,1.2681232690811157
49,1.3227747678756714,1.3227747678756714,1.2515488862991333,1.2515488862991333
50,1.3215789794921875,1.3215789794921875,1.25407874584198,1.25407874584198
51,1.319097638130188,1.319097638130188,1.250137209892273,1.250137209892273
52,1.3150129318237305,1.3150129318237305,1.2423590421676636,1.2423590421676636
53,1.2967498302459717,1.2967498302459717,1.240899920463562,1.240899920463562
54,1.2859381437301636,1.2859381437301636,1.2478082180023193,1.2478082180023193
55,1.2875555753707886,1.2875555753707886,1.239542841911316,1.239542841911316
56,1.2746340036392212,1.2746340036392212,1.23324716091156,1.23324716091156
57,1.2829889059066772,1.2829889059066772,1.2159717082977295,1.2159717082977295
58,1.2581599950790405,1.2581599950790405,1.2152955532073975,1.2152955532073975
59,1.2547433376312256,1.2547433376312256,1.2215282917022705,1.2215282917022705
60,1.261587142944336,1.261587142944336,1.2130903005599976,1.2130903005599976
61,1.2456053495407104,1.2456053495407104,1.2193396091461182,1.2193396091461182
62,1.2351226806640625,1.2351226806640625,1.2240132093429565,1.2240132093429565
63,1.240135669708252,1.240135669708252,1.211811900138855,1.211811900138855
64,1.2332111597061157,1.2332111597061157,1.2014669179916382,1.2014669179916382
65,1.2307941913604736,1.2307941913604736,1.2017651796340942,1.2017651796340942
66,1.2231239080429077,1.2231239080429077,1.1927783489227295,1.1927783489227295
67,1.218420386314392,1.218420386314392,1.1922829151153564,1.1922829151153564
68,1.2085191011428833,1.2085191011428833,1.1920000314712524,1.1920000314712524
69,1.2053760290145874,1.2053760290145874,1.1812762022018433,1.1812762022018433
70,1.1993026733398438,1.1993026733398438,1.1866374015808105,1.1866374015808105
71,1.2020587921142578,1.2020587921142578,1.1869820356369019,1.1869820356369019
72,1.1991400718688965,1.1991400718688965,1.1902453899383545,1.1902453899383545
73,1.1834670305252075,1.1834670305252075,1.1625826358795166,1.1625826358795166
74,1.1828988790512085,1.1828988790512085,1.179447054862976,1.179447054862976
75,1.1677732467651367,1.1677732467651367,1.1696438789367676,1.1696438789367676
76,1.1778593063354492,1.1778593063354492,1.174852728843689,1.174852728843689
77,1.163317084312439,1.163317084312439,1.1651791334152222,1.1651791334152222
78,1.170143961906433,1.170143961906433,1.1714810132980347,1.1714810132980347
79,1.158159613609314,1.158159613609314,1.1555966138839722,1.1555966138839722
80,1.1546273231506348,1.1546273231506348,1.1545820236206055,1.1545820236206055
81,1.1580052375793457,1.1580052375793457,1.1616649627685547,1.1616649627685547
82,1.1539785861968994,1.1539785861968994,1.1569398641586304,1.1569398641586304
83,1.1431021690368652,1.1431021690368652,1.14765202999115,1.14765202999115
84,1.1276068687438965,1.1276068687438965,1.145565390586853,1.145565390586853
85,1.1337772607803345,1.1337772607803345,1.1616637706756592,1.1616637706756592
86,1.1404184103012085,1.1404184103012085,1.1642745733261108,1.1642745733261108
87,1.131300449371338,1.131300449371338,1.1455533504486084,1.1455533504486084
88,1.1259554624557495,1.1259554624557495,1.1372841596603394,1.1372841596603394
89,1.125287413597107,1.125287413597107,1.131567120552063,1.131567120552063
90,1.1148011684417725,1.1148011684417725,1.121044635772705,1.121044635772705
91,1.1202032566070557,1.1202032566070557,1.1350079774856567,1.1350079774856567
92,1.1131869554519653,1.1131869554519653,1.132284164428711,1.132284164428711
93,1.1054258346557617,1.1054258346557617,1.1160329580307007,1.1160329580307007
94,1.0931216478347778,1.0931216478347778,1.1304852962493896,1.1304852962493896
95,1.088658094406128,1.088658094406128,1.1192437410354614,1.1192437410354614
96,1.0976238250732422,1.0976238250732422,1.1104857921600342,1.1104857921600342
97,1.0843696594238281,1.0843696594238281,1.125657081604004,1.125657081604004
98,1.08466637134552,1.08466637134552,1.109169840812683,1.109169840812683
99,1.09114670753479,1.09114670753479,1.124307632446289,1.124307632446289
100,1.0746365785598755,1.0746365785598755,1.1126104593276978,1.1126104593276978
101,1.0700740814208984,1.0700740814208984,1.1126582622528076,1.1126582622528076
102,1.073232889175415,1.073232889175415,1.125981092453003,1.125981092453003
103,1.0630065202713013,1.0630065202713013,1.102185845375061,1.102185845375061
104,1.0665624141693115,1.0665624141693115,1.0885181427001953,1.0885181427001953
105,1.058730959892273,1.058730959892273,1.1049726009368896,1.1049726009368896
106,1.0626927614212036,1.0626927614212036,1.0971331596374512,1.0971331596374512
107,1.0547668933868408,1.0547668933868408,1.1083875894546509,1.1083875894546509
108,1.0593489408493042,1.0593489408493042,1.0822685956954956,1.0822685956954956
109,1.0438278913497925,1.0438278913497925,1.0845131874084473,1.0845131874084473
110,1.0536960363388062,1.0536960363388062,1.0776256322860718,1.0776256322860718
111,1.0450383424758911,1.0450383424758911,1.0855897665023804,1.0855897665023804
112,1.0421342849731445,1.0421342849731445,1.074936032295227,1.074936032295227
113,1.029608964920044,1.029608964920044,1.0805186033248901,1.0805186033248901
114,1.0338038206100464,1.0338038206100464,1.0720103979110718,1.0720103979110718
115,1.030326247215271,1.030326247215271,1.0605669021606445,1.0605669021606445
116,1.0315264463424683,1.0315264463424683,1.0756781101226807,1.0756781101226807
117,1.0237027406692505,1.0237027406692505,1.0655028820037842,1.0655028820037842
118,1.0130738019943237,1.0130738019943237,1.0636571645736694,1.0636571645736694
119,1.0070631504058838,1.0070631504058838,1.070579171180725,1.070579171180725
120,1.0129051208496094,1.0129051208496094,1.0492230653762817,1.0492230653762817
121,1.001160979270935,1.001160979270935,1.0662927627563477,1.0662927627563477
122,1.012317419052124,1.012317419052124,1.0709308385849,1.0709308385849
123,1.010185718536377,1.010185718536377,1.056790828704834,1.056790828704834
124,0.9889994263648987,0.9889994263648987,1.0545018911361694,1.0545018911361694
125,0.9991438388824463,0.9991438388824463,1.0586349964141846,1.0586349964141846
126,0.9980010390281677,0.9980010390281677,1.0449035167694092,1.0449035167694092
127,0.986381471157074,0.986381471157074,1.0538560152053833,1.0538560152053833
128,0.9821041226387024,0.9821041226387024,1.0534676313400269,1.0534676313400269
129,0.9857627153396606,0.9857627153396606,1.035645604133606,1.035645604133606
130,0.9739758372306824,0.9739758372306824,1.0281152725219727,1.0281152725219727
131,0.9783928394317627,0.9783928394317627,1.0480319261550903,1.0480319261550903
