epoch,categorical_crossentropy,mae,val_categorical_crossentropy,val_loss,val_mae
0,2.708411931991577,0.09961485862731934,2.379648447036743,2.2855896949768066,0.08775980025529861
1,2.24729061126709,0.08752696961164474,2.3010435104370117,2.2035233974456787,0.08181656897068024
2,2.1734721660614014,0.08672048896551132,2.0642178058624268,1.9822942018508911,0.08508904278278351
3,2.12245774269104,0.08608151227235794,2.044842481613159,1.968832015991211,0.08958985656499863
4,2.044553756713867,0.08556259423494339,1.9657729864120483,1.884022831916809,0.08187176287174225
5,2.0202207565307617,0.08519858866930008,2.078707695007324,1.9952508211135864,0.07986708730459213
6,1.988181233406067,0.08482781797647476,2.0141334533691406,1.9388912916183472,0.08461093157529831
7,1.973868727684021,0.08462537080049515,1.952857255935669,1.875706672668457,0.08339463174343109
8,1.9624316692352295,0.08461105078458786,1.9054627418518066,1.8274297714233398,0.08124738931655884
9,1.9225281476974487,0.08434551954269409,1.8116581439971924,1.7423005104064941,0.08657409995794296
10,1.9656281471252441,0.08454111963510513,1.866844654083252,1.787781834602356,0.08469856530427933
11,1.939727544784546,0.08441009372472763,1.882470965385437,1.806109070777893,0.08294841647148132
12,1.9347785711288452,0.08432172983884811,1.9601982831954956,1.8755184412002563,0.08300282061100006
13,1.9542311429977417,0.08445142209529877,1.85173499584198,1.779747486114502,0.08362530916929245
14,1.9523069858551025,0.0844874456524849,1.9022128582000732,1.822143316268921,0.08565154671669006
15,1.9902647733688354,0.08465534448623657,1.838706612586975,1.7650377750396729,0.08547887951135635
16,1.977381706237793,0.08456335961818695,1.8455084562301636,1.7737927436828613,0.08352327346801758
17,1.9704504013061523,0.084506094455719,1.9904301166534424,1.9050177335739136,0.08485139906406403
18,1.9699342250823975,0.08457179367542267,1.833566427230835,1.7605087757110596,0.08223244547843933
19,1.9646520614624023,0.08447854965925217,1.808644413948059,1.7337838411331177,0.08006548136472702
20,1.9586974382400513,0.08453752100467682,2.0590133666992188,1.9789340496063232,0.08058316260576248
21,1.9757527112960815,0.08447950333356857,1.8205100297927856,1.7492271661758423,0.08609510213136673
22,1.9366027116775513,0.08473692834377289,1.8319717645645142,1.7600586414337158,0.08318261802196503
23,1.9393991231918335,0.08458806574344635,2.0063493251800537,1.9285346269607544,0.07963137328624725
24,1.9780839681625366,0.08497586846351624,1.8556925058364868,1.7806090116500854,0.08384725451469421
25,1.949066400527954,0.08490487933158875,1.8129432201385498,1.7439980506896973,0.08124522119760513
26,1.9514186382293701,0.08460970968008041,1.847792387008667,1.774556279182434,0.08358603715896606
27,1.9578778743743896,0.08498459309339523,1.9086440801620483,1.8252997398376465,0.08188337832689285
28,1.940773367881775,0.08473388105630875,1.900929570198059,1.8265451192855835,0.08224726468324661
29,1.9498465061187744,0.08452271670103073,1.871685266494751,1.795483946800232,0.08071079105138779
30,1.951229214668274,0.08458280563354492,1.8852035999298096,1.811286449432373,0.08455485105514526
31,1.9735236167907715,0.08493377268314362,2.0532379150390625,1.9770787954330444,0.08177993446588516
32,1.936979055404663,0.08437240123748779,1.9063174724578857,1.8250371217727661,0.083767369389534
33,1.9817028045654297,0.08473678678274155,2.0532758235931396,1.9686815738677979,0.08038994669914246
34,1.9482481479644775,0.08457907289266586,1.9441068172454834,1.8634437322616577,0.08176085352897644
35,1.969172716140747,0.08496616035699844,1.82284414768219,1.7521127462387085,0.08128905296325684
36,1.9438366889953613,0.08445051312446594,1.8453716039657593,1.7704784870147705,0.08532235771417618
37,1.937530517578125,0.08451592922210693,1.8162057399749756,1.7404301166534424,0.08409915864467621
38,1.9493731260299683,0.08468183875083923,2.060889482498169,1.9784438610076904,0.08521834015846252
39,1.9683464765548706,0.08471157401800156,1.9594646692276,1.879281997680664,0.08344537019729614
40,1.9624525308609009,0.08465864509344101,1.817548155784607,1.7458796501159668,0.08306203037500381
41,1.95423424243927,0.08458934724330902,1.8804548978805542,1.8088457584381104,0.08254792541265488
42,1.9521615505218506,0.08485501259565353,1.859312653541565,1.784313678741455,0.08428027480840683
43,1.956331729888916,0.08469145745038986,1.8512171506881714,1.7771985530853271,0.08164689689874649
44,1.9627068042755127,0.08460711687803268,2.1938581466674805,2.11116623878479,0.08386073261499405
45,1.9487310647964478,0.08473007380962372,1.8169798851013184,1.7444219589233398,0.08649935573339462
46,1.9575996398925781,0.08480677008628845,1.9241442680358887,1.8440487384796143,0.08207889646291733
47,1.9574189186096191,0.08460432291030884,1.9740512371063232,1.8961008787155151,0.08468455821275711
48,1.9349448680877686,0.08462002128362656,1.9169460535049438,1.8376092910766602,0.08170882612466812
49,1.9790022373199463,0.08514583855867386,1.9722872972488403,1.8989945650100708,0.08188897371292114
50,1.9637469053268433,0.08454921096563339,1.8359675407409668,1.7620872259140015,0.08367235958576202
51,1.9606516361236572,0.0844978615641594,1.8622738122940063,1.7857667207717896,0.08297856897115707
52,1.9528239965438843,0.08454636484384537,1.9768894910812378,1.9026055335998535,0.08195149153470993
53,1.9584527015686035,0.08465169370174408,1.8434277772903442,1.7712466716766357,0.08230732381343842
54,1.976959466934204,0.08454684168100357,1.9104573726654053,1.8302687406539917,0.08146023750305176
55,1.9599159955978394,0.08485400676727295,1.8112168312072754,1.7407832145690918,0.08233261853456497
56,1.9546020030975342,0.08473952114582062,2.0296781063079834,1.9515289068222046,0.07848022133111954
57,1.9373341798782349,0.08453299850225449,1.9700900316238403,1.8925594091415405,0.07983484119176865
58,1.9627959728240967,0.08449287712574005,1.8242137432098389,1.7519692182540894,0.0823286771774292
